nanoTime,sensorValue1,sensorValue2,sensorValue3,sensorValue4,sensorValue5,xPos,yPos,theta,rawAngle1,rawAngle2,xGyro,yGyro,zGyro,xAccel,yAccel,zAccel,Temp,Frame
1660836435399,2479,2506,2626,2205,2651,0.083334304,0.052995984,-1.893546,1933,3607,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,2
1660901424038,2883,2874,2905,2686,2822,0.0829548,0.051861256,-1.9529768,2072,3520,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1660966590045,3187,3247,3187,3140,3052,0.08343536,0.053056836,-2.0281856,2187,3349,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,1
1661031451721,3213,3339,3254,3255,3072,0.084421,0.055059355,-2.1057613,2286,3153,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,2
1661097175168,3249,3481,3395,3373,3126,0.085723095,0.057256594,-2.181759,2375,2953,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.765564,36.53,2
1661160478321,3225,3580,3535,3407,3143,0.08716186,0.059310935,-2.258283,2466,2753,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,1
1661225604162,3211,3634,3655,3382,3190,0.08872426,0.061213706,-2.3332288,2555,2557,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,2
1661290705392,3215,3697,3723,3379,3242,0.09037707,0.06294423,-2.405282,2640,2368,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,1
1661355578976,3194,3777,3736,3387,3259,0.092064925,0.06447402,-2.4749687,2723,2186,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.828064,36.53,2
1661420633928,3133,3849,3692,3382,3202,0.09069057,0.063392706,-2.5643778,2931,2054,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,2
1661484498132,3006,3902,3528,3337,3005,0.085658014,0.06011553,-2.668776,3260,1986,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,1
1661549595881,2631,3933,3103,3195,2540,0.078570105,0.056489963,-2.7650223,3616,1976,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,2
1661614781685,1595,3881,2265,2752,1668,0.07593822,0.055449206,-2.8573241,3853,1862,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1661679815102,321,3671,930,2860,481,0.076004475,0.055468567,-2.9385812,4006,1706,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,1
1661743746417,238,451,287,3486,252,0.077334166,0.05574228,-3.0030084,3,1554,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.828064,36.53,2
1661815415090,248,307,281,3499,243,0.079727024,0.05607603,-3.0521834,44,1408,-15.519084,0.24427481,15.687023,0.25109863,0.001953125,-1.921814,36.53,1
1661871617086,263,389,315,3543,245,0.083233446,0.056390375,-3.0871582,34,1265,-15.519084,0.24427481,15.687023,0.25109863,0.001953125,-1.890564,36.53,2
1661935811732,543,1091,933,3685,313,0.08647301,0.056566894,-3.1263404,38,1120,-15.519084,0.24427481,15.687023,0.25109863,0.001953125,-1.906189,36.53,2
1662000662206,1179,1704,1573,3711,948,0.08974001,0.056616727,3.115296,46,970,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.874939,36.53,1
1662064767946,778,1830,1445,3165,697,0.09314427,0.056527186,3.0758507,47,821,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.828064,36.53,2
1662129706012,631,2852,1471,2159,640,0.09645051,0.056309514,3.039561,44,680,-15.519084,0.24427481,15.687023,0.25109863,0.001953125,-1.906189,36.53,1
1662193758956,525,3749,1485,1874,649,0.099632226,0.05598375,3.0024824,45,540,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.874939,36.53,2
1662259317702,426,3799,1385,1755,630,0.10282247,0.055537067,2.9656668,45,400,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.874939,36.53,2
1662323881234,452,3791,1239,1603,769,0.10606207,0.054961186,2.9280624,45,257,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.859314,36.53,1
1662388815263,273,3709,804,1170,446,0.10770363,0.05460524,2.8720503,115,114,-15.519084,0.24427481,15.687023,0.25109863,0.001953125,-1.890564,36.53,2
1662452740004,687,3742,1136,1619,1141,0.10856861,0.054366276,2.801312,230,4056,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.859314,36.53,1
1662517650830,1015,2233,1087,2448,1369,0.10876382,0.05429716,2.7132177,393,3884,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.843689,36.53,2
1662582874393,1510,1361,1069,3627,1619,0.10761264,0.054822855,2.6051378,626,3706,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,1
1662647652573,2150,1477,1208,3803,1768,0.10577334,0.05591654,2.4818058,907,3518,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,2
1662712630214,2459,1864,1555,3842,1853,0.10382802,0.057425644,2.3532143,1205,3327,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
1662777646669,2533,2029,1795,3729,1917,0.10266005,0.058600593,2.232775,1470,3134,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1662841649485,3144,2085,1926,2730,2162,0.10251862,0.05878209,2.1302173,1670,2944,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,1
1662907671413,3695,1909,1819,1799,2211,0.10292158,0.058138516,2.0400193,1825,2756,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,2
1662971742802,3813,1675,1565,1407,2123,0.103483446,0.057030283,1.9563954,1957,2570,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1663036695203,3762,1409,1323,1084,2486,0.103950776,0.055878993,1.8743494,2086,2387,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,1
1663101675584,3707,1469,1148,832,3468,0.1043772,0.054517616,1.794933,2206,2205,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
